_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp_y,_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_sp_midPoint,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_mid,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,f(x),FORCES,WAVEHEIGHTS,Design ID,Ancestry,FSOPT_Generation,FSOPT_Design_ID,FSOPT_Parent_ID
0.4233333333,0.3,0.4941176471,0.5490196078,0.5023529412,0.5035294118,0.1102352941,2.282352941,0.4611764706,0.4949019608,0.8988235294,0.3364705882,0.6258823529,1.356862745,0.7025882353,0.1501960784,0.9166666667,0.7737254902,,-0.2169123,-0.1623903,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00004,,1,03_OPT/00/NSGA1_000/DES_00004,
0.2333333333,0.59,0.4894117647,0.5647058824,0.4501960784,0.5411764706,0.1336862745,6.4,0.6243137255,0.52,0.8988235294,0.3639215686,0.622745098,1.254901961,0.7336470588,0.1349019608,0.8960784314,0.802745098,,1.120894,1.529846,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00006,,1,03_OPT/00/NSGA1_000/DES_00006,
0.23,0.5533333333,0.4941176471,0.4533333333,0.4639215686,0.4894117647,0.1352156863,6.235294118,0.5239215686,0.4760784314,0.9011764706,0.3466666667,0.6533333333,0.8470588235,0.6927058824,0.1549019608,0.8941176471,0.8356862745,,1.25093,1.554524,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00007,,1,03_OPT/00/NSGA1_000/DES_00007,
0.1933333333,0.52,0.5152941176,0.5364705882,0.6698039216,0.5082352941,0.1209411765,-1.505882353,0.3576470588,0.4478431373,0.9135294118,0.3552941176,0.6290196078,1.474509804,0.6828235294,0.1525490196,0.9352941176,0.8058823529,,0.2736419,0.8286066,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00008,,1,03_OPT/00/NSGA1_000/DES_00008,
0.2766666667,0.4133333333,0.3976470588,0.4611764706,0.422745098,0.4588235294,0.1163529412,-2.329411765,0.5019607843,0.5592156863,0.8764705882,0.3545098039,0.6360784314,1.341176471,0.6574117647,0.1682352941,0.8529411765,0.8254901961,,1.23919,1.518723,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00009,,1,03_OPT/00/NSGA1_000/DES_00009,
0.38,0.5166666667,0.5435294118,0.497254902,0.6039215686,0.5717647059,0.1270588235,6.4,0.542745098,0.4588235294,0.9176470588,0.3356862745,0.6023529412,1.364705882,0.7011764706,0.1403921569,0.8764705882,0.8137254902,,0.523219,0.9459777,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00010,,1,03_OPT/00/NSGA1_000/DES_00010,
0.26,0.6066666667,0.4094117647,0.5035294118,0.4282352941,0.5388235294,0.1209411765,5.576470588,0.48,0.4917647059,0.8711764706,0.3592156863,0.6164705882,1.388235294,0.656,0.1443137255,0.8921568627,0.8192156863,,0.404606,0.8411,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00011,,1,03_OPT/00/NSGA1_000/DES_00011,
0.3266666667,0.4133333333,0.5105882353,0.4705882353,0.5215686275,0.5364705882,0.1362352941,5.082352941,0.5929411765,0.4854901961,0.8847058824,0.3466666667,0.6243137255,1.325490196,0.6249411765,0.1647058824,0.9117647059,0.8349019608,,0.9546051,1.506446,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00015,,1,03_OPT/00/NSGA1_000/DES_00015,
0.41,0.4966666667,0.5082352941,0.5082352941,0.5133333333,0.5670588235,0.136745098,8.705882353,0.3796078431,0.5764705882,0.9023529412,0.3498039216,0.6447058824,1.098039216,0.6207058824,0.1537254902,0.9245098039,0.8176470588,,0.7951625,1.510002,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00016,,1,03_OPT/00/NSGA1_000/DES_00016,
0.5166666667,0.41,0.5082352941,0.4815686275,0.4776470588,0.5835294118,0.1326666667,6.729411765,0.511372549,0.4949019608,0.9047058824,0.3717647059,0.6345098039,0.9960784314,0.6927058824,0.1619607843,0.8990196078,0.8003921569,,0.4919875,0.7145399,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00019,,1,03_OPT/00/NSGA1_000/DES_00019,
