_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_mid,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,FORCES,RESISTANCE_ratio_AA,_fsopt_design_id,_fsopt_generation
0.62,0.5011764706,0.5003921569,0.4996078431,0.3450980392,0.05976470588,-0.02352941176,0.4988235294,0.4996078431,0.8711764706,0.6,0.3490196078,0.4992941176,0.1074509804,0.877254902,0.8901960784,0.1852549,100.0331,03_OPT/00/SobolVicinity_000/DES_00001,1
0.6833333333,0.4541176471,0.5301960784,0.4474509804,0.3717647059,0.05007843137,3.105882353,0.4392156863,0.4698039216,0.8817647059,0.581372549,0.4235294118,0.4724705882,0.111372549,0.8662745098,0.9088235294,-0.2522634,100.0733,03_OPT/00/SobolVicinity_000/DES_00002,1
0.5566666667,0.5458823529,0.4705882353,0.5517647059,0.3168627451,0.06996078431,-3.152941176,0.5584313725,0.5294117647,0.8605882353,0.618627451,0.2745098039,0.5275294118,0.1039215686,0.8890196078,0.8715686275,0.7886371,100.0653,03_OPT/00/SobolVicinity_000/DES_00003,1
0.5866666667,0.4776470588,0.5145098039,0.42,0.3858823529,0.07454901961,-4.8,0.5301960784,0.4556862745,0.8870588235,0.5901960784,0.3882352941,0.4597647059,0.1054901961,0.882745098,0.8617647059,-0.002367439,100.2922,03_OPT/00/SobolVicinity_000/DES_00004,1
0.7166666667,0.5670588235,0.4549019608,0.5270588235,0.3309803922,0.05517647059,1.623529412,0.4109803922,0.5152941176,0.8658823529,0.6284313725,0.2392156863,0.5134117647,0.1129411765,0.8607843137,0.8990196078,0.3541576,100.0226,03_OPT/00/SobolVicinity_000/DES_00005,1
0.6533333333,0.4329411765,0.4847058824,0.4749019608,0.3043137255,0.0648627451,4.752941176,0.5898039216,0.4854901961,0.8552941176,0.5715686275,0.3137254902,0.4865882353,0.1094117647,0.8945098039,0.9176470588,0.831956,99.7538,03_OPT/00/SobolVicinity_000/DES_00006,1
0.5233333333,0.5223529412,0.5443137255,0.5792156863,0.3592156863,0.04549019608,-1.505882353,0.4705882353,0.5450980392,0.8764705882,0.6098039216,0.462745098,0.5402352941,0.1019607843,0.8717647059,0.8803921569,-0.07018086,100.1787,03_OPT/00/SobolVicinity_000/DES_00007,1
0.54,0.4658823529,0.4768627451,0.5380392157,0.351372549,0.04803921569,-5.458823529,0.6054901961,0.4619607843,0.8529411765,0.6137254902,0.4431372549,0.5063529412,0.1101960784,0.8631372549,0.9039215686,-0.4699003,100.1176,03_OPT/00/SobolVicinity_000/DES_00008,1
0.6666666667,0.5552941176,0.5380392157,0.4337254902,0.2964705882,0.06741176471,0.8,0.4862745098,0.5231372549,0.8741176471,0.5764705882,0.2941176471,0.4527058824,0.102745098,0.8858823529,0.8666666667,0.22447,100.2161,03_OPT/00/SobolVicinity_000/DES_00009,1
0.73,0.4211764706,0.5082352941,0.5929411765,0.3247058824,0.0577254902,3.929411765,0.5458823529,0.4917647059,0.8847058824,0.6323529412,0.2196078431,0.5331764706,0.1066666667,0.8749019608,0.8852941176,0.2904063,100.0453,03_OPT/00/SobolVicinity_000/DES_00010,1
