_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_end,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,FORCES,RTRWPMIX,ct_ffw_HP01_value,_fsopt_design_id,_fsopt_generation
0.8419607843,0.45,0.4647058824,0.408,0.1223529412,0.1362745098,-0.8470588235,0.4611764706,0.4988235294,0.9294117647,0.5619607843,0.9462745098,0.6764705882,0.1,0.9107843137,0.8141176471,0.3371629,0.1620908,7.15735,03_OPT/00/NSGA1_000/DES_00001,1
0.9311764706,0.462,0.4274509804,0.5,0.05803921569,0.1496078431,1.623529412,0.4643137255,0.4705882353,0.9096470588,0.5611764706,0.9052941176,0.7023529412,0.1035294118,0.9284313725,0.8311764706,1.459016,1.320653,7.3281,03_OPT/00/NSGA1_000/DES_00002,1
0.9235294118,0.458,0.4392156863,0.496,0.04392156863,0.1358823529,-5.129411765,0.5490196078,0.5082352941,0.92,0.5721568627,0.9239215686,0.6694117647,0.1078431373,0.8882352941,0.8411764706,0.9429228,0.7860364,7.34081,03_OPT/00/NSGA1_000/DES_00003,1
0.8801960784,0.472,0.4862745098,0.498,0.1568627451,0.1394117647,4.752941176,0.5396078431,0.4894117647,0.9303529412,0.5564705882,0.8903921569,0.6823529412,0.1047058824,0.8941176471,0.8147058824,0.2586704,0.2546548,7.11761,03_OPT/00/NSGA1_000/DES_00004,1
0.8037254902,0.476,0.4666666667,0.444,0.09882352941,0.1476470588,-2.0,0.4988235294,0.5058823529,0.9327058824,0.5188235294,0.9015686275,0.6835294118,0.1,0.9058823529,0.8217647059,0.923942,0.6110374,7.19522,03_OPT/00/NSGA1_000/DES_00005,1
0.9005882353,0.478,0.4843137255,0.452,0.08470588235,0.1496078431,-1.341176471,0.5333333333,0.5317647059,0.9256470588,0.5643137255,0.8568627451,0.6552941176,0.1066666667,0.8774509804,0.8182352941,0.9853921,0.7287982,7.10622,03_OPT/00/NSGA1_000/DES_00006,1
0.8598039216,0.484,0.4862745098,0.48,0.09882352941,0.147254902,0.4705882353,0.4454901961,0.4776470588,0.9421176471,0.5509803922,0.9201960784,0.7752941176,0.1070588235,0.8911764706,0.8364705882,1.303392,1.522838,7.30492,03_OPT/00/NSGA1_000/DES_00007,1
0.9311764706,0.454,0.4921568627,0.502,0.1223529412,0.1445098039,-3.152941176,0.5898039216,0.5741176471,0.9336470588,0.5109803922,0.8270588235,0.6858823529,0.1078431373,0.9401960784,0.8158823529,1.184975,1.007238,7.22222,03_OPT/00/NSGA1_000/DES_00008,1
0.8725490196,0.454,0.4784313725,0.504,0.1678431373,0.1350980392,4.752941176,0.4643137255,0.4705882353,0.9223529412,0.5588235294,0.7376470588,0.6988235294,0.1019607843,0.8892156863,0.8205882353,-0.0184023,0.04221981,7.09481,03_OPT/00/NSGA1_000/DES_00009,1
0.9056862745,0.492,0.462745098,0.508,0.1035294118,0.1370588235,0.8,0.4266666667,0.4376470588,0.9392941176,0.5603921569,0.8978431373,0.6764705882,0.1058823529,0.9098039216,0.8241176471,0.4258201,0.2865967,7.23009,03_OPT/00/NSGA1_000/DES_00010,1
